User	Video	Orientation	Slant	Label
0	2520	non radicalized	0.15	neutral
0	5262	non radicalized	0.19	neutral
0	721	non radicalized	0.09	neutral
0	6163	non radicalized	0.15	neutral
0	7483	non radicalized	0.04	neutral
0	5595	non radicalized	0.05	neutral
0	4745	non radicalized	0.04	neutral
0	4979	non radicalized	0.2	neutral
0	5045	non radicalized	0.03	neutral
0	9113	non radicalized	0.02	neutral
0	3031	non radicalized	0.09	neutral
0	4442	non radicalized	0.03	neutral
0	2642	non radicalized	0.09	neutral
0	8323	non radicalized	0.07	neutral
0	7342	non radicalized	0.06	neutral
0	7653	non radicalized	0.08	neutral
0	7565	non radicalized	0.24	neutral
0	7725	non radicalized	0.17	neutral
0	2444	non radicalized	0.04	neutral
0	2461	non radicalized	0.16	neutral
0	8502	non radicalized	0.06	neutral
0	6287	non radicalized	0.18	neutral
0	1206	non radicalized	0.22	neutral
0	6337	non radicalized	0.11	neutral
0	1445	non radicalized	0.05	neutral
0	5997	non radicalized	0.17	neutral
0	5229	non radicalized	0.08	neutral
0	5062	non radicalized	0.03	neutral
0	5915	non radicalized	0.03	neutral
0	5162	non radicalized	0.0	neutral
0	8032	non radicalized	0.77	harmful
0	1618	non radicalized	0.07	neutral
0	5789	non radicalized	0.2	neutral
0	9494	non radicalized	0.14	neutral
0	7090	non radicalized	0.23	neutral
0	5586	non radicalized	0.12	neutral
0	2568	non radicalized	0.06	neutral
0	5163	non radicalized	0.04	neutral
0	9071	non radicalized	0.09	neutral
0	9840	non radicalized	0.13	neutral
0	2385	non radicalized	0.24	neutral
0	9728	non radicalized	0.13	neutral
0	5264	non radicalized	0.12	neutral
0	6698	non radicalized	0.2	neutral
0	7433	non radicalized	0.14	neutral
0	9194	non radicalized	0.18	neutral
0	8077	non radicalized	0.08	neutral
0	8607	non radicalized	0.02	neutral
0	5288	non radicalized	0.17	neutral
0	7484	non radicalized	0.19	neutral
0	7664	non radicalized	0.1	neutral
0	2172	non radicalized	0.09	neutral
0	2715	non radicalized	0.12	neutral
0	2495	non radicalized	0.14	neutral
0	2469	non radicalized	0.23	neutral
0	7862	non radicalized	0.15	neutral
0	3332	non radicalized	0.06	neutral
0	429	non radicalized	0.01	neutral
0	9621	non radicalized	0.16	neutral
0	9716	non radicalized	0.23	neutral
0	5434	non radicalized	0.21	neutral
0	898	non radicalized	0.09	neutral
0	9702	non radicalized	0.23	neutral
0	9232	non radicalized	0.1	neutral
0	5143	non radicalized	0.03	neutral
0	6767	non radicalized	0.11	neutral
0	5070	non radicalized	0.07	neutral
0	2347	non radicalized	0.06	neutral
0	2839	non radicalized	0.11	neutral
0	5039	non radicalized	0.14	neutral
0	2408	non radicalized	0.06	neutral
0	381	non radicalized	0.18	neutral
0	2222	non radicalized	0.04	neutral
0	8961	non radicalized	0.02	neutral
0	9201	non radicalized	0.23	neutral
0	2373	non radicalized	0.04	neutral
0	2801	non radicalized	0.78	harmful
0	530	non radicalized	0.12	neutral
0	3753	non radicalized	0.16	neutral
0	1518	non radicalized	0.07	neutral
0	6647	non radicalized	0.1	neutral
0	5356	non radicalized	0.19	neutral
0	3125	non radicalized	0.15	neutral
1	6742	radicalized	0.9	harmful
1	7301	radicalized	0.82	harmful
1	535	radicalized	0.92	harmful
1	4230	radicalized	0.78	harmful
1	1641	radicalized	0.86	harmful
1	7171	radicalized	0.78	harmful
1	8887	radicalized	0.92	harmful
1	8982	radicalized	1.0	harmful
1	3598	radicalized	0.84	harmful
1	4188	radicalized	0.84	harmful
1	6264	radicalized	0.82	harmful
1	5027	radicalized	0.92	harmful
1	5576	radicalized	0.81	harmful
1	1819	radicalized	0.78	harmful
1	9124	radicalized	0.77	harmful
1	972	radicalized	0.94	harmful
1	400	radicalized	0.81	harmful
1	7970	radicalized	0.97	harmful
1	5005	radicalized	0.9	harmful
1	4828	radicalized	0.78	harmful
1	5326	radicalized	0.84	harmful
1	9316	radicalized	0.93	harmful
1	3034	radicalized	0.85	harmful
1	2551	radicalized	0.92	harmful
1	4303	radicalized	0.89	harmful
1	6739	radicalized	0.85	harmful
1	2686	radicalized	0.86	harmful
1	3381	radicalized	0.76	harmful
1	3066	radicalized	0.76	harmful
1	2901	radicalized	0.9	harmful
1	5990	radicalized	0.95	harmful
1	455	radicalized	0.9	harmful
1	1287	radicalized	0.9	harmful
1	8509	radicalized	0.98	harmful
1	5456	radicalized	0.92	harmful
1	5631	radicalized	0.82	harmful
1	6320	radicalized	0.95	harmful
1	5385	radicalized	0.92	harmful
1	8859	radicalized	0.05	neutral
1	1704	radicalized	0.88	harmful
1	9735	radicalized	0.98	harmful
1	4758	radicalized	0.97	harmful
1	5527	radicalized	0.97	harmful
1	1867	radicalized	0.93	harmful
1	9249	radicalized	0.86	harmful
1	8046	radicalized	0.96	harmful
1	2913	radicalized	0.87	harmful
1	5416	radicalized	0.86	harmful
1	2202	radicalized	0.14	neutral
1	1575	radicalized	0.93	harmful
1	7593	radicalized	0.79	harmful
1	1646	radicalized	0.77	harmful
1	7170	radicalized	0.92	harmful
1	8694	radicalized	0.84	harmful
1	905	radicalized	0.78	harmful
1	3038	radicalized	0.96	harmful
1	2622	radicalized	0.83	harmful
1	8198	radicalized	0.76	harmful
1	3364	radicalized	0.95	harmful
1	4364	radicalized	0.79	harmful
1	6486	radicalized	0.92	harmful
